Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb_dds_top.uut.u_sine_output.u_blk_mem.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_12_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Time:                    0 | DAC Data: xxxx
Time:               130000 | DAC Data: 2000
PLL Locked! Starting DDS Simulation...
Time:              1599000 | DAC Data: 2200
Time:              1609000 | DAC Data: 2400
Time:              1619000 | DAC Data: 25f8
Time:              1629000 | DAC Data: 27f0
Time:              1639000 | DAC Data: 29e0
Time:              1649000 | DAC Data: 2bc0
Time:              1659000 | DAC Data: 2d98
Time:              1669000 | DAC Data: 2f68
Time:              1679000 | DAC Data: 3120
Time:              1689000 | DAC Data: 32c8
Time:              1699000 | DAC Data: 3460
Time:              1709000 | DAC Data: 35e8
Time:              1719000 | DAC Data: 3748
Time:              1729000 | DAC Data: 38a0
Time:              1739000 | DAC Data: 39e0
Time:              1749000 | DAC Data: 3b00
Time:              1759000 | DAC Data: 3c00
Time:              1769000 | DAC Data: 3cf0
Time:              1779000 | DAC Data: 3db8
Time:              1789000 | DAC Data: 3e68
Time:              1799000 | DAC Data: 3ef8
Time:              1809000 | DAC Data: 3f68
Time:              1819000 | DAC Data: 3fb8
Time:              1829000 | DAC Data: 3fe8
Time:              1839000 | DAC Data: 3ff8
Time:              1849000 | DAC Data: 3fe8
Time:              1859000 | DAC Data: 3fb8
Time:              1869000 | DAC Data: 3f68
Time:              1879000 | DAC Data: 3ef8
Time:              1889000 | DAC Data: 3e68
Time:              1899000 | DAC Data: 3db8
Time:              1909000 | DAC Data: 3cf0
Time:              1919000 | DAC Data: 3c00
Time:              1929000 | DAC Data: 3b00
Time:              1939000 | DAC Data: 39e0
Time:              1949000 | DAC Data: 38a0
Time:              1959000 | DAC Data: 3748
Time:              1969000 | DAC Data: 35e8
Time:              1979000 | DAC Data: 3460
Time:              1989000 | DAC Data: 32c8
Time:              1999000 | DAC Data: 3120
Time:              2009000 | DAC Data: 2f68
Time:              2019000 | DAC Data: 2d98
Time:              2029000 | DAC Data: 2bc0
Time:              2039000 | DAC Data: 29e0
Time:              2049000 | DAC Data: 27f0
Time:              2059000 | DAC Data: 25f8
Time:              2069000 | DAC Data: 2400
Time:              2079000 | DAC Data: 1e00
Time:              2089000 | DAC Data: 2000
Time:              2099000 | DAC Data: 1e00
Time:              2109000 | DAC Data: 1c00
Time:              2119000 | DAC Data: 1a08
Time:              2129000 | DAC Data: 1810
Time:              2139000 | DAC Data: 1620
Time:              2149000 | DAC Data: 1440
Time:              2159000 | DAC Data: 1268
Time:              2169000 | DAC Data: 1098
Time:              2179000 | DAC Data: 0ee0
Time:              2189000 | DAC Data: 0d38
Time:              2199000 | DAC Data: 0ba0
Time:              2209000 | DAC Data: 0a18
Time:              2219000 | DAC Data: 08b8
Time:              2229000 | DAC Data: 0760
Time:              2239000 | DAC Data: 0620
Time:              2249000 | DAC Data: 0500
Time:              2259000 | DAC Data: 0400
Time:              2269000 | DAC Data: 0310
Time:              2279000 | DAC Data: 0248
Time:              2289000 | DAC Data: 0198
Time:              2299000 | DAC Data: 0108
Time:              2309000 | DAC Data: 0098
Time:              2319000 | DAC Data: 0048
Time:              2329000 | DAC Data: 0018
Time:              2339000 | DAC Data: 0008
Time:              2349000 | DAC Data: 0018
Time:              2359000 | DAC Data: 0048
